Title,Revenue,LQS,Price,Category,Shop,Sales,Monthly sales,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Favorites,Listing age (days),Personalization required,Creation date,Listing type,Vintage,Supply item,Personalizable,Image count,Free US shipping,Conversion rate,BSR Category,BSR Category (%),Monthly revenue
"Baguette Lab Grown Diamond Eternity Band: 14K Gold Stackable Wedding Ring","$2205","74","$105.00","Jewelry","OurosJewelsLlc","21","7","Shop owner","Made to Order","9942","Yes","https://www.etsy.com/listing/4316154315/baguette-lab-grown-diamond-eternity-band","13","Baguette Cut,Solid Gold Band,Stackable Band,Eternity Band,Wedding Band,Diamond Band,Lab Grown Diamond,Ouros Jewels,CVD Diamond,Eco Friendly,Engagement Gift,Halloween Gift,Matching Band","33.33%","7","5.00","Carloz","24.50 days","21 days","28 days","442","94","Yes","05 Haz, 2025","Physical","No","No","Yes","9","Yes","0.21%","NaN","0.0","$699",
"Pearl Beaded Apple Watch Band: Elegant Silver iWatch Strap","$4720","68","$51.31","Jewelry","Modbandx","92","7","Shop owner","","9759","Yes","https://www.etsy.com/listing/1764908953/pearl-beaded-apple-watch-band-elegant","13","apple watch ultra,apple watch band,apple watch strap,apple watch 8,apple watch 7,49mm watch band,ultra watch band,49mm ultra steel,rose gold band,gold watch band,series 8 watch band,bling apple watch,Pearl apple watch","21.74%","20","4.65","None","2.00 days","1 days","3 days","414","414","No","20 Tem, 2024","Physical","No","No","No","8","Yes","0.94%","NaN","0.0","$342",
"Gold Cuff Bracelet Wave Pattern Design Hammered Metal Jewelry Statement Piece Fashion Accessory Wrist Band Adjustable Size Handmade Gift For","$1155","74","$55.00","Jewelry","RuneandLight","21","7","Shop owner","","2100","Yes","https://www.etsy.com/listing/4318441976/gold-cuff-bracelet-wave-pattern-design","13","gold cuff bracelet,wave pattern,gold bangle,hammered gold bangle,hammered metal,statement piece,fashion accessory,wrist band,adjustable size,handmade jewelry,gift for her,boho bracelet,gold hammered cuff","19.05%","4","5.00","None","2.00 days","1 days","3 days","188","89","No","10 Haz, 2025","Physical","No","No","No","7","No","1.00%","NaN","0.0","$391",
"Deep V Moissanite Vanki Ring: 14K Solid Gold Wave Chevron Band, V Shape Wishbone Ring","$1728","74","$144.00","Jewelry","Cristojuanna","12","7","Shop owner","","758","Yes","https://www.etsy.com/listing/4337009166/deep-v-moissanite-vanki-ring-14k-solid","13","vanki ring band 14k,deep v shape ring,chevron wavy ring,perfect gift women,curved tiny ring 18k,moissanite diamond,high and low ring,vanki diamond ring,tiny diamond band,tarnish free ring,custom summer ring,diamond wave ring,wedding ideas ring","25.00%","3","5.00","He helps me to ship my package to my customers better and safer. He also helps me to avoid confusion","6.00 days","3 days","9 days","53","53","No","17 Tem, 2025","Physical","No","No","Yes","10","Yes","1.58%","NaN","0.0","$1056",
"Pink Morganite Ring Rose Gold Tungsten Ring Womens/ Mens Wedding Band- Comfort-Fit Dome Polished- Anniversary Ring- Statement Ring 4mm Ring","$13005","68","$85.00","Jewelry","Aquamarise","153","7","Shop owner","Made to Order","22690","Yes","https://www.etsy.com/listing/1573314806/pink-morganite-ring-rose-gold-tungsten","13","Mens wedding band,woman wedding band,tungsten ring,German glass ring,man rose gold band,pink morganite ring,minimalist jewelry,pink gift for her,pink gemstone ring,Engagement ring,Gifts for her,4mm wedding band,pink wedding band","30.72%","47","4.80","None","4.00 days","3 days","5 days","1626","695","No","14 Eki, 2023","Physical","No","No","Yes","5","Yes","0.67%","NaN","0.0","$576",
"Personalized Sterling Silver Name Ring %u2022 Custom Skinny Name Ring %u2022 Engraved Ring %u2022 Children Names Ring %u2022 Roman Numeral Ring %u2022 Stackable Ring","$769","42","$40.49","Jewelry","Myluckideas","19","7","Shop owner","Made to Order","2309","No","https://www.etsy.com/listing/4319355582/personalized-sterling-silver-name-ring","13","Name Ring,Custom Name Ring,Personalizd Ring,Personalized Gifts,Gold Name Rings,Personalized Gift,Gifts For Mom,Birthday Gifts,Stacking Rings,Engraved Band Ring,Skinny Band Rings,Stackable Rings,Thin Engraved Ring","21.05%","4","5.00","None","10.50 days","7 days","14 days","70","88","Yes","12 Haz, 2025","Physical","No","No","Yes","10","Yes","0.82%","NaN","0.0","$264",
"Moss Agate Engagement Ring 925 Sterling Silver Ring Nature Inspired Gemstone Promise ring for her","$3205","53","$60.48","Jewelry","Kgngemsnjewels","53","7","Shop owner","","22986","No","https://www.etsy.com/listing/1859102379/moss-agate-engagement-ring-925-sterling","13","handmade jewelry,art deco ring,ring for women,Birthstone Jewelry,Silver Ring,Oval Ring,Stacking Ring,Unique Ring,Moss Agate Ring,Agate Ring,rose gold band,rose gold ring,rose gold jewelry","22.64%","12","4.08","None","2.00 days","1 days","3 days","1432","236","No","15 Oca, 2025","Physical","No","No","No","7","Yes","0.23%","NaN","0.0","$413",
"14K Solid Gold Thin Wedding Bands, 2mm-3mm-4mm-5mm-6mm Minimalist Wedding Band, Stacking Ring, Thick Gold Wedding Band, Gift For Her Him","$231","63","$33.00","Jewelry","velljewels","7","7","Production partner","","580","No","https://www.etsy.com/listing/4347615790/14k-solid-gold-thin-wedding-bands-2mm","13","wedding gift for her,simple gold ring,14k gold band,anniversary ring,gold rings for women,thin wedding bands,Minimalist Wedding,Gift for mom,Gift For Girlfriend,yellow gold band,classic wedding band,bridal wedding band,unisex gold band","42.86%","3","5.00","JEWELRY MAKER STUDIO","2.00 days","1 days","3 days","10","32","No","07 A%u011Fu, 2025","Physical","No","No","No","10","Yes","1.21%","NaN","0.0","$230",
"Square One Of A Kind Pinky Signet Ring in Silver, Unique Pinky Signet Ring in Oxidized Silver For Men, Wedding Mens Band Ring","$10011","63","$71.00","Jewelry","PangeaSilver","141","7","Shop owner","Made to Order","42917","No","https://www.etsy.com/listing/1627334845/square-one-of-a-kind-pinky-signet-ring","13","square signet ring,gold square ring,one of a kind ring,silver signet ring,square pinky ring,pinky signet ring,sterling silver gift,unique gold ring,Polished signet ring,jewelry for men,unique signet ring,signet ring men,pinky ring men","33.33%","47","4.90","None","2.00 days","1 days","3 days","2521","642","No","05 Ara, 2023","Physical","No","No","No","6","Yes","0.33%","NaN","0.0","$486",
"Emerald cut Green Sapphire engagement ring set 14k gold vintage moss agate wedding band marquise cut diamond bridal promise Anniversary ring","$75680","58","$880.00","Jewelry","Gardensring","86","7","Shop owner","Made to Order","193523","Yes","https://www.etsy.com/listing/1786481231/emerald-cut-green-sapphire-engagement","13","Cluster ring,Anniversary ring,Vintage ring,Leaf ring,moissanite ring,green sapphire ring,emerald cut ring,soldi gold ring,marquise cut ring,bridal set,diamond ring,moss agate ring,engagement ring set","23.26%","20","5.00","Pallion","17.50 days","14 days","21 days","7900","373","Yes","30 A%u011Fu, 2024","Physical","No","No","Yes","5","Yes","0.04%","NaN","0.0","$6143",
"14k Solid Gold Birthstone Eternity Ring / Full Eternity Stackable Gemstone Ring for Women / Minimalist Birthday Birthstone Ring","$82314","79","$306.00","Jewelry","Juvalin","269","7","Shop owner","Made to Order","27418","Yes","https://www.etsy.com/listing/1277730829/14k-solid-gold-birthstone-eternity-ring","13","personalized gifts,birthstone jewelry,birthstone ring,14k gold birthstone,solid gold ring,14k gold custom ring,micro pave gold ring,minimalist stackable,dainty stacking ring,pave ring for women,full eternity band,birthstone eternity,gemstone eternity","21.93%","59","4.85","None","3.50 days","2 days","5 days","821","1135","Yes","31 Tem, 2022","Physical","No","No","Yes","10","Yes","0.98%","NaN","0.0","$2191",
"Gold Hand Of God Ring For Men - Creation Of Adam Gold Ring - Mens Gold Ring- Mens Rings Gold / Silver - Hand Ring Steel Ring Men Jewelry","$466","37","$31.07","Jewelry","Twistedpendant","15","7","Production partner","","1115","No","https://www.etsy.com/listing/4325398986/gold-hand-of-god-ring-for-men-creation","13","mens ring,creation of adam,Adam hand ring,mens gold ring,gold ring men,hands of god ring,mens jewelry,mens pinky ring,pinky ring men,gold band ring,mens gold jewelry,gold ring,mens signet ring","13.33%","2","5.00","Lindsey","1.00 days","1 days","1 days","94","76","No","24 Haz, 2025","Physical","No","No","No","10","No","1.35%","NaN","0.0","$208",
"Vintage Moissanite Curved Wedding band Unique Yellow Gold wedding band Matching Stackable Diamond ring Promise Anniversary ring for women","$20475","63","$195.00","Jewelry","Bywardjewelry","105","7","Shop owner","Made to Order","20620","No","https://www.etsy.com/listing/1727871247/vintage-moissanite-curved-wedding-band","13","Moissanite ring,Promise ring,Anniversary ring,Solid gold ring,Wedding ring,Curved wedding band,Stackable ring,Matching ring,Unique ring,Diamond wedding band,Diamond ring,Yellow Gold ring,silver ring","32.38%","34","5.00","None","17.50 days","14 days","21 days","1249","488","No","08 May, 2024","Physical","No","No","No","5","Yes","0.51%","NaN","0.0","$1314",
"Solid Yellow Gold Marquise Cut Solitaire 2CT Marquise Cut Moissanite Ring, Filigree Wedding Ring, 6 Prongs Anniversary Diamond Ring For Her","$63960","58","$780.00","Jewelry","Esdomera","82","6","Member of the shop","Made to Order","98196","Yes","https://www.etsy.com/listing/1773285587/solid-yellow-gold-marquise-cut-solitaire","13","engagement ring,wedding ring,solitaire ring,bridal ring,anniversary gift,anniversary ring,promise ring,art deco ring,vintage ring,Filigree ring,solid gold ring,marquise cut ring,engraved band ring","31.71%","26","4.96","None","12.50 days","10 days","15 days","4170","399","No","05 A%u011Fu, 2024","Physical","No","No","No","10","Yes","0.08%","NaN","0.0","$4820",
"Engraved Ring, Onyx Mens Rings Fidget Black Spinner Rings, Blackstone Fidget Rings Band Women Men Dad Spinner Finger Custom Rings WATERPROOF","$4390","63","$43.90","Jewelry","LunaScottJewelry","100","6","Shop owner","Made to Order","5948","Yes","https://www.etsy.com/listing/1703543238/engraved-ring-onyx-mens-rings-fidget","13","black rings,fidget ring,spinner rings,gold band rings,sterling silver ring,engraved rings,men band ring,men spinner rings,anxiety disorder,personalized custom,GAD disorder rings,hand spinner toy,black fidget toy","18.00%","18","4.78","None","1.00 days","1 days","1 days","221","506","No","19 Nis, 2024","Physical","No","No","Yes","10","No","1.68%","NaN","0.0","$260",
"18K Gold Snake Ring For Men - Waterproof Snake Ring - Thin Snake Band Ring - Mens Jewelry - Minimalist Serpent Ring - By Twistedpendant","$2336","53","$21.63","Jewelry","Twistedpendant","108","6","Production partner","","5418","No","https://www.etsy.com/listing/1658915965/18k-gold-snake-ring-for-men-waterproof","13","mens snake ring,snake ring men,rings for men,gold snake ring,waterproof rings,mens jewellery,serpent ring men,mens ring gold,silver snake ring,thin snake band ring,gold signet ring,mens pinky ring,mens band ring","13.89%","15","5.00","Lindsey","1.00 days","1 days","1 days","271","601","No","16 Oca, 2024","Physical","No","No","No","10","No","1.99%","NaN","0.0","$120",
"14k Gold 3 mm Flat Wedding Band %u2022 Flat %u2022 Comfort Fit %u2022 Free Name Engraving Inside %u2022 Handmade Gold Unisex Ring %u2022 Gold Plated Silver","$294","68","$49.00","Jewelry","ForYouJewelryHM","6","6","Shop owner","Made to Order","51","Yes","https://www.etsy.com/listing/4347513082/14k-gold-3-mm-flat-wedding-band-flat","13","GIFTS FOR HIM,GOLD RINGS,engagement ring,Thin Stacking Ring,personalized ring,minimalist gold band,thin wedding ring,14k yellow flat ring,flat wedding band,gold wedding band,silver wedding band,polished gold band,3 mm flat women ring","16.67%","1","5.00","None","2.00 days","1 days","3 days","2","32","No","06 A%u011Fu, 2025","Physical","No","No","Yes","8","Yes","11.76%","NaN","0.0","$303",
"Pear Shaped Moissanite Engagement Ring, Curved Band 14K Gold Wedding Ring, East West Pear Ring, Solitaire, Teardrop Ring Stacking Ring","$882","65","$98.00","Jewelry","ElenajewelryUSA","9","7","Shop owner","Made to Order","754","Yes","https://www.etsy.com/listing/4344857908/pear-shaped-moissanite-engagement-ring","13","Pear Shape Ring,Pear Cut Ring,Pear Moissanite Ring,Pear Engagement Ring,Curved Band,14K Gold Ring,Wedding Ring,East West Ring,East West Pear,Solitaire,Teardrop Ring,Diamond Ring,Unique Ring","0.00%","0","0.00","None","6.00 days","5 days","7 days","40","37","Yes","01 A%u011Fu, 2025","Physical","No","No","Yes","10","Yes","1.19%","NaN","0.0","$700",
"Apple Watch Screen Cover Gold Silver Rose Gold Watch cover metallic screen protector screen protection for se 6 4 5 3 8 Flexi case","$1794","53","$9.70","Jewelry","GoodsTemple","185","6","Shop owner","","5614","No","https://www.etsy.com/listing/1392698826/apple-watch-screen-cover-gold-silver","13","Apple Watch,apple Watch case,watch cover,screen protector,gold case,Gold,silver,Rose gold,rosegold,protector,protection,case,flexi","15.68%","29","4.31","None","3.00 days","1 days","5 days","116","951","No","31 Oca, 2023","Physical","No","No","No","5","Yes","3.30%","NaN","0.0","$57",
"Ring set floral band 14k gold filled stacking ring set","$1372","42","$98.00","Jewelry","RuneandLight","14","6","Shop owner","Made to Order","1982","Yes","https://www.etsy.com/listing/4324500989/ring-set-floral-band-14k-gold-filled","13","jewelry set,ring set,stacking ring set,stacking rings,floral ring,gold ring set,gold filled rings,vintage rings,art deco rings,gold stacking rings,vintage rings gold,floral band,gold band set","0.00%","0","0.00","None","6.00 days","5 days","7 days","157","77","No","22 Haz, 2025","Physical","No","No","No","6","No","0.71%","NaN","0.0","$558",
"Blue Sapphire and Diamond Sterling Silver Eternity Band","$14652","74","$99.00","Jewelry","TheJewelsHaven","148","6","Member of the shop","","16288","Yes","https://www.etsy.com/listing/1544211861/blue-sapphire-and-diamond-sterling","13","Art Deco WeddingRing,bridal ring set,Anniversary gift for,real sapphire band,sapphire and diamond,elegant diamond band,Full Eternity Band,Sapphire DiamondBand,MoissaniteWeddingBan,14K White Gold Band,Stacking WeddingBand,14kGoldMoissaniteBan,WeddingEngagementRin","21.62%","32","4.53","None","2.00 days","1 days","3 days","663","756","No","14 A%u011Fu, 2023","Physical","No","No","No","9","Yes","0.91%","NaN","0.0","$582",
"Orion Nebula & Cornflower Sapphire Leaf Couples Ring- His and Hers Ring Set- Rose Gold Wedding Bands with Sapphire- Outer Space Couples Ring","$30550","63","$235.00","Jewelry","Aquamarise","130","6","Shop owner","Made to Order","50236","Yes","https://www.etsy.com/listing/1590585220/orion-nebula-cornflower-sapphire-leaf","13","Matching ring set,his and hers ring,engagement ring set,wedding ring set,couples promise ring,promise ring set,black mens ring,blue and gold ring,Blue sapphire ring,couples wedding band,Outer space ring,rose gold leaf ring,gold nebula ring set","30.77%","40","5.00","None","4.00 days","3 days","5 days","2814","671","No","06 Kas, 2023","Physical","No","No","Yes","7","Yes","0.26%","NaN","0.0","$1402",
"Delicate Diamond Curved Wedding Band - Minimalist Dainty Round Moissanite Stacking Ring - Rose Gold Crown Matching Ring by ManhattanBox","$130824","68","$414.00","Jewelry","ManhattanBox","316","6","Shop owner","Made to Order","41079","Yes","https://www.etsy.com/listing/917609867/delicate-diamond-curved-wedding-band","13","Vintage ring,wedding band,art deco band,curved wedding band,wedding ring,vintage band,moissanite band,Manhattan Box,Rose Gold Ring,Womens Wedding Band,Stacking Rings,Gift for Women,Moissanite Ring","36.71%","116","5.00","None","17.50 days","14 days","21 days","1999","1739","Yes","04 Ara, 2020","Physical","No","No","Yes","9","Yes","0.77%","NaN","0.0","$2278",
"Natural Rainbow Moonstone Ring, Marquise Celtic Ring, June Birthstone, Celtic Knot Ring, Boho Ring, Silver Ring for Women, Bridesmaid Ring,","$5247","58","$99.00","Jewelry","SilverArtLuxury","53","6","Shop owner","","4712","Yes","https://www.etsy.com/listing/1818364270/natural-rainbow-moonstone-ring-marquise","13","Moonstone Ring,Boho Ring,Ring for Girls,Handmade Ring,Gift for Her,Rings for Women,Bohemian Ring,Silver Ring,Moonstone Ring Gold,women Ring,Gift Ring,Band Ring,Wide Band Ring","16.98%","9","4.80","None","2.00 days","1 days","3 days","600","286","No","26 Kas, 2024","Physical","No","No","No","4","Yes","1.12%","NaN","0.0","$583",
"14k Gold 3mm Wedding Bands , Domed Comfort Fit , Minimalist Wedding Ring , Thin Stacking Ring , Handmade , Gift For Her , Personalized","$294","47","$49.00","Jewelry","ForYouJewelryHM","6","6","Shop owner","Made to Order","501","Yes","https://www.etsy.com/listing/4347004137/14k-gold-3mm-wedding-bands-domed-comfort","13","curved wedding band,promise ring gold,GIFTS FOR HIM,WOMEN RING,engagement ring,personalized gold,polished gold band,minimalist 14k gold,thin wedding ring,classic wedding band,gold wedding band,silver wedding band,ANNIVERSARY GIFT","0.00%","0","0.00","None","2.00 days","1 days","3 days","16","33","No","05 A%u011Fu, 2025","Physical","No","No","Yes","8","Yes","1.20%","NaN","0.0","$294",
"French Baguette Cut Lab Diamond Men's Band, Filigree and Milgrain Set Diamond Wedding Band, 14K Solid Gold Engagement Band, Gift For Him","$2280","47","$380.00","Jewelry","OurosJewelsLlc","6","6","Shop owner","Made to Order","476","Yes","https://www.etsy.com/listing/4344574330/french-baguette-cut-lab-diamond-mens","13","French Baguette Cut,Filigree Setting,Wedding Band,Milgrain Band,Mens Band,Diamond Band,Anniversary Band,Lab Grown Diamond,Ouros Jewels,CVD Diamond,Eco Friendly,Gift For Him,Halloween Gift","0.00%","0","0.00","Carloz","24.50 days","21 days","28 days","41","38","Yes","01 A%u011Fu, 2025","Physical","No","No","Yes","10","Yes","1.26%","NaN","0.0","$3560",
"Mens Pinky Rings - Silver Rings for Men - 8mm Matte Silver Signet Ring Men - Anniversary / Promise Ring - Pinky Rings, Steel Men Jewelry UK","$5953","53","$24.20","Jewelry","Twistedpendant","246","6","Production partner","","18701","No","https://www.etsy.com/listing/1167388205/mens-pinky-rings-silver-rings-for-men","13","mens pinky rings,silver rings for men,mens jewelry ring,signet ring men,mens gold ring,mens ring silver uk,promise rings man,matte band rings,statement rings men,gold rings man,Anniversary rings,pinky ring men,rings for men","13.82%","34","4.90","Lindsey","1.00 days","1 days","1 days","398","1321","Yes","26 Oca, 2022","Physical","No","No","No","10","No","1.32%","NaN","0.0","$135",
"14k Gold Wedding Ring 1-6 mm, Thin Wedding Bands, Minimalist Wedding Rings, Thin Stacking Ring Hers, Comfort Fit, Gift For Her, Gift For Him","$490","47","$35.00","Jewelry","ForYouJewelryHM","14","6","Shop owner","Made to Order","1890","Yes","https://www.etsy.com/listing/4326903649/14k-gold-wedding-ring-1-6-mm-thin","12","WOMEN RING,GOLD RINGS,engagement ring,personalized gold,minimalist 14k gold,thin wedding ring,gold wedding band,classic wedding band,curved wedding band,ANNIVERSARY GIFTS,wedding band women,custom rings","0.00%","0","0.00","None","2.00 days","1 days","3 days","14","72","No","27 Haz, 2025","Physical","No","No","Yes","10","Yes","0.74%","NaN","0.0","$212",
"6mm Brushed Gold Tungsten Carbide Ring, Mens Womens Tungsten Wedding Band, Gold Plated Engagement Ring, Anniversary Ring","$6358","63","$59.99","Jewelry","BaochujinArt","106","6","Shop owner","Made to Order","4403","No","https://www.etsy.com/listing/1693549072/6mm-brushed-gold-tungsten-carbide-ring","13","Personalized Ring,Anniversary Ring,Custom Engraved Ring,Promise Ring for Him,Yellow Gold Ring,Engagement Ring,Men's Wedding Band,Mens Wedding Ring,Couple Ring,Anniversary Gift,Unique Wedding Ring,Thin 6MM Gold,Mens Brushed Ring","21.70%","23","4.87","None","2.00 days","1 days","3 days","116","523","No","03 Nis, 2024","Physical","No","No","Yes","4","Yes","2.41%","NaN","0.0","$374",
"14K Gold 5 mm Flat Ring Wedding Band %u2022 Flat %u2022 Comfort Fit %u2022 Free Name Engraving Inside %u2022 Handmade Gold Unisex Ring %u2022 Gold Plated Silver","$348","63","$58.00","Jewelry","ForYouJewelryHM","6","6","Shop owner","Made to Order","198","Yes","https://www.etsy.com/listing/4347617273/14k-gold-5-mm-flat-ring-wedding-band","13","GIFTS FOR HIM,GOLD RINGS,engagement ring,Thin Stacking Ring,personalized ring,minimalist gold band,thin wedding ring,14k yellow flat ring,flat wedding band,gold wedding band,silver wedding band,polished gold band,women rings 5 mm","16.67%","1","5.00","None","2.00 days","1 days","3 days","4","32","No","07 A%u011Fu, 2025","Physical","No","No","Yes","8","Yes","3.03%","NaN","0.0","$360",
"Round Rose Cut Halo Moissanite Engagement Ring 3 CT Round Cut With Cigar Curve Wedding Anniversary Band Vintage 14K Gold Gifts Ring Women","$2286","47","$285.83","Jewelry","NewRoyalCollection","8","6","Shop owner","Made to Order","659","Yes","https://www.etsy.com/listing/4343649443/round-rose-cut-halo-moissanite","13","wedding ring,engagement ring,anniversary ring,unique ring,moissanite ring,rose cut moissanite,rings for women,antique engagement,14k gold ring,round rose cut ring,vintage ring set,bridal ring set,cigar curve band","0.00%","0","0.00","None","9.00 days","8 days","10 days","49","40","No","30 Tem, 2025","Physical","No","No","Yes","7","No","1.21%","NaN","0.0","$1717",
"14k Gold 2mm Wedding Bands , Domed Comfort Fit , Minimalist Wedding Ring , Thin Stacking Ring , Handmade , Gift For Her , Personalized","$270","47","$45.00","Jewelry","ForYouJewelryHM","6","6","Shop owner","Made to Order","460","Yes","https://www.etsy.com/listing/4347021717/14k-gold-2mm-wedding-bands-domed-comfort","13","ANNIVERSARY GIFT,classic wedding band,gold wedding band,silver wedding band,thin wedding ring,minimalist 14k gold,polished gold band,personalized gold,engagement ring,WOMEN RING 2mm,GIFTS FOR HIM,promise ring 2 mm,curved wedding bands","0.00%","0","0.00","None","2.00 days","1 days","3 days","12","33","No","06 A%u011Fu, 2025","Physical","No","No","Yes","8","Yes","1.30%","NaN","0.0","$270",
"Natural Citrine Ring, Drop Citrine Band Ring, 925 Sterling Silver Ring, Engagement Ring, Anniversary Gift For Her, 18k Gold Plated Jewelry","$930","53","$93.00","Jewelry","PurnimaSilverArtisan","10","6","Shop owner","","833","Yes","https://www.etsy.com/listing/4330503076/natural-citrine-ring-drop-citrine-band","13","Women Citrine Ring,Handmade Ring,Bohemian Ring,Sterling Silver Ring,Silver Citrine Ring,Gold Plated Ring,Vermeil Jewelry,Purpose Ring,Wedding Ring,Gift for Women,Citrine Jewelry,Band Ring,Citrine Gold Ring","0.00%","0","0.00","None","2.00 days","1 days","3 days","69","65","No","05 Tem, 2025","Physical","No","No","No","3","Yes","1.20%","NaN","0.0","$602",
"East West Set Emerald Cut Lab Diamond Eternity Band, Eco Friendly Diamond Engagement Band, 14K Solid Gold Stackable Band, Gift For Her","$4650","53","$310.00","Jewelry","OurosJewelsLlc","15","6","Shop owner","Made to Order","2095","Yes","https://www.etsy.com/listing/4321423241/east-west-set-emerald-cut-lab-diamond","13","Emerald Cut,Stackable Band,Wedding Band,Eternity Band,Engagement Band,Diamond Band,Anniversary Band,Lab Grown Diamond,Ouros Jewels,CVD Diamond,Eco Friendly,Christmas Gift,Halloween Gift","0.00%","0","0.00","Carloz","24.50 days","21 days","28 days","71","83","Yes","16 Haz, 2025","Physical","No","No","Yes","9","Yes","0.72%","NaN","0.0","$1728",
"Vintage Morganite Ring Set- 14K Rose Gold Vermeil Peachy Pink Morganite Engagement Ring For Women- Promise Ring Anniversary Gift For Her","$38448","63","$89.00","Jewelry","Aquamarise","432","6","Shop owner","Made to Order","92624","Yes","https://www.etsy.com/listing/695713786/vintage-morganite-ring-set-14k-rose-gold","13","rose god ring set,birthday gift,pink Morganite ring,peachy pink stone,STATEMENT RING,diamond wedding band,GIFTS FOR HER,VINTAGE JEWELRY,PERSONALIZED RING,EVERYDAY JEWELRY,CRYSTAL JEWELRY,GIFTS FOR MOM,GIFT FOR WIFE","30.79%","133","4.90","None","4.00 days","3 days","5 days","5645","2295","No","28 May, 2019","Physical","No","No","Yes","6","Yes","0.47%","NaN","0.0","$506",
"Trilogy 3-Stone 9K White Gold Filled Engagement Wedding Ring Set, 1ct Simulated Diamond Wedding Anniversary Eternity Band Rings, Bridal Ring","$1412","37","$13.71","Jewelry","Shinewithyou","103","6","Shop owner","","14915","No","https://www.etsy.com/listing/1677589761/trilogy-3-stone-9k-white-gold-filled","13","Trilogy Ring,Trinity Ring,3 stone ring,wedding rings,engagement rings,wedding ring sets,bridal sets,bridal rings,anniversary rings,eternity ring,band ring,womens ring,diamond ring","16.50%","17","4.60","None","1.00 days","1 days","1 days","467","573","No","13 %u015Eub, 2024","Physical","No","No","No","8","No","0.69%","NaN","0.0","$77",
"Titanium Rose Gold Ring - Hammered Structure - Pink Stacking Women Ring - Engagement Band","$7593","68","$104.02","Jewelry","ElwoodCrafts","73","5","Shop owner","Made to Order","5750","No","https://www.etsy.com/listing/1746213825/titanium-rose-gold-ring-hammered","13","Gift for Her,dainty stacking ring,minimalist jewelry,gift for mom,engagement band,titanium hammered,rose gold,mothers anniversary,valentines day,pink love ring,women eternity band,midi promise ring,everyday handmade","27.40%","20","5.00","None","4.00 days","3 days","5 days","210","453","No","12 Haz, 2024","Physical","No","No","No","10","Yes","1.27%","NaN","0.0","$511",
"Diamond Wedding Band in 14K Rose Gold Vermeil- 2mm Minimalist Stackable Matching Ring- Simple Half Eternity Band- Anniversary Gift For Her","$23674","63","$89.00","Jewelry","Aquamarise","266","5","Shop owner","Made to Order","24438","Yes","https://www.etsy.com/listing/880783278/diamond-wedding-band-in-14k-rose-gold","13","14K Rose Gold Band,Stackable Ring,Gift for her,Rings for women,GIFTS FOR HER,GIFT FOR WIFE,PROMISE RING FOR HER,minimalist rings,rose gold ring women,diamond wedding band,simple wedding band,affordable ring,2mm wedding band","30.83%","82","4.80","None","4.00 days","3 days","5 days","1116","1775","No","29 Eki, 2020","Physical","No","No","Yes","5","Yes","1.09%","NaN","0.0","$404",
"Minimalist Wedding Band,Lab Diamond Band,Two Side Pave Eternity Band,Comfort Fit Band Ring,Marriage Bands,Stackable Band,Anniversary Bands","$5160","47","$430.00","Jewelry","Thediamondwings","12","5","Shop owner","Made to Order","1177","Yes","https://www.etsy.com/listing/4321852002/minimalist-wedding-bandlab-diamond","13","lab grown bands,stacking bands,double sided pave,two sided pave ring,flat wedding band,matching band ring,minimalist band ring,yellow gold band,round diamond band,bands for women,bridal bands,wedding gifts,diamond band ring","0.00%","0","0.00","None","9.00 days","6 days","12 days","56","83","No","17 Haz, 2025","Physical","No","No","Yes","10","Yes","1.02%","NaN","0.0","$2218",
"Widow Bracelet | Pearl Gold or Silver Faux Leather | Ring Bracelet | Braided or Unbraided | Choose Snap Color | Custom-Fit O Ring Holder","$5091","79","$29.95","Weddings","RingHolderBracelets","170","5","Shop owner","Made to Order","7438","Yes","https://www.etsy.com/listing/1402022506/widow-bracelet-pearl-gold-or-silver-faux","13","wedding band,ring holder,wear a ring,widow bracelet,widow jewelry,ring bracelet,spinner ring,trich tool,blueberry leather sh,loved one's ring,spinner fidget toy,maple leathercraft,handmadetalent","40.59%","69","4.99","None","2.00 days","1 days","3 days","143","938","Yes","13 %u015Eub, 2023","Physical","No","No","Yes","10","Yes","2.29%","NaN","0.0","$164",
"READY TO SHIP 14K Yellow Gold Moissanite Bezel Oval Shape Ring D color VVS1 | 1.5ct 2ct 4ct 5ct","$3360","58","$480.00","Jewelry","RockAStud","7","5","Member of the shop","","570","Yes","https://www.etsy.com/listing/4342705630/ready-to-ship-14k-yellow-gold-moissanite","13","GRA,moissanite ring,14k bezel ring,14k solid gold,solid gold ring,engagement ring,14k engagement rings,trendy bezel rings,oval bezel,oval ring,oval engagement,trendy oval ring,yellow band oval","0.00%","0","0.00","Natural Diamonds","2.00 days","1 days","3 days","13","41","No","28 Tem, 2025","Physical","No","No","No","8","Yes","1.23%","NaN","0.0","$2464",
